pool_ID;genus;subgenus;species;stage;sex;N_pool;date_collected;location;results_YFV
C8;Haemagogus;Haemagogus;janthinomys;adult;female ;1;04/05/2021;DUCKE;negative 
C15;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;04/05/2021;DUCKE;negative 
C29;Haemagogus;Haemagogus;janthinomys;adult;female ;1;06/05/2021;DUCKE;negative 
C32;Haemagogus;Haemagogus;janthinomys;adult;female ;1;06/05/2021;DUCKE;negative 
C35;Haemagogus;Haemagogus;janthinomys;adult;female ;1;06/05/2021;DUCKE;negative 
C38;Haemagogus;Haemagogus;janthinomys;adult;female ;1;06/05/2021;DUCKE;negative 
C39;Haemagogus;Haemagogus;janthinomys;adult;female ;3;06/05/2021;DUCKE;negative 
C41;Haemagogus;Haemagogus;janthinomys;adult;female ;2;06/05/2021;DUCKE;negative 
C43;Haemagogus;Haemagogus;janthinomys;adult;female ;1;06/05/2021;DUCKE;negative 
C46;Haemagogus;Haemagogus;janthinomys;adult;female ;5;06/05/2021;DUCKE;negative 
C48;Haemagogus;Haemagogus;janthinomys;adult;female ;6;06/05/2021;DUCKE;negative 
C50;Haemagogus;Haemagogus;janthinomys;adult;female ;7;06/05/2021;DUCKE;negative 
C52;Haemagogus;Haemagogus;janthinomys;adult;female ;1;06/05/2021;DUCKE;negative 
C56;Haemagogus;Haemagogus;janthinomys;adult;female ;2;06/05/2021;DUCKE;negative 
C58;Haemagogus;Haemagogus;janthinomys;adult;female ;5;06/05/2021;DUCKE;negative 
C59;Haemagogus;Haemagogus;janthinomys;adult;female ;3;06/05/2021;DUCKE;negative 
C63;Haemagogus;Haemagogus;janthinomys;adult;female ;5;06/05/2021;DUCKE;negative 
C66;Haemagogus;Haemagogus;janthinomys;adult;female ;2;06/05/2021;DUCKE;negative 
C69;Haemagogus;Haemagogus;janthinomys;adult;female ;3;11/05/2021;DUCKE;negative 
C73;Haemagogus;Haemagogus;janthinomys;adult;female ;3;11/05/2021;DUCKE;negative 
C76;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/05/2021;DUCKE;negative 
C77;Haemagogus;Haemagogus;janthinomys;adult;female ;2;11/05/2021;DUCKE;negative 
C79;Haemagogus;Haemagogus;janthinomys;adult;female ;2;11/05/2021;DUCKE;negative 
C83;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/05/2021;DUCKE;negative 
C88;Haemagogus;Haemagogus;janthinomys;adult;female ;5;11/05/2021;DUCKE;negative 
C92;Haemagogus;Haemagogus;janthinomys;adult;female ;5;11/05/2021;DUCKE;negative 
C95;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/05/2021;DUCKE;negative 
C97;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/05/2021;DUCKE;negative 
C100;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/05/2021;DUCKE;negative 
C101;Haemagogus;Haemagogus;janthinomys;adult;female ;4;11/05/2021;DUCKE;negative 
C104;Haemagogus;Haemagogus;janthinomys;adult;female ;1;11/05/2021;DUCKE;negative 
C112;Haemagogus;Haemagogus;janthinomys;adult;female ;1;13/05/2021;DUCKE;negative 
C116;Haemagogus;Haemagogus;janthinomys;adult;female ;1;13/05/2021;DUCKE;negative 
C123;Haemagogus;Haemagogus;janthinomys;adult;female ;2;13/05/2021;DUCKE;negative 
C124;Haemagogus;Haemagogus;janthinomys;adult;female ;2;13/05/2021;DUCKE;negative 
C129;Haemagogus;Haemagogus;janthinomys;adult;female ;1;13/05/2021;DUCKE;negative 
C141;Haemagogus;Haemagogus;janthinomys;adult;female ;4;13/05/2021;DUCKE;negative 
C177;Haemagogus;Haemagogus;janthinomys;adult;female ;1;20/05/2021;DUCKE;negative 
C186;Haemagogus;Haemagogus;janthinomys;adult;female ;4;20/05/2021;DUCKE;negative 
C189;Haemagogus;Conopostegus;leucocelaenus;adult;female ;2;20/05/2021;DUCKE;negative 
C193;Haemagogus;Haemagogus;janthinomys;adult;female ;1;20/05/2021;DUCKE;negative 
C194;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;20/05/2021;DUCKE;negative 
C197;Haemagogus;Haemagogus;janthinomys;adult;female ;3;20/05/2021;DUCKE;negative 
C201;Haemagogus;Haemagogus;janthinomys;adult;female ;3;20/05/2021;DUCKE;negative 
C204;Haemagogus;Haemagogus;janthinomys;adult;female ;1;20/05/2021;DUCKE;negative 
C211;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;20/05/2021;DUCKE;negative 
C213;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;20/05/2021;DUCKE;negative 
C216;Haemagogus;Haemagogus;janthinomys;adult;female ;1;25/05/2021;DUCKE;negative 
C222;Haemagogus;Haemagogus;janthinomys;adult;female ;1;25/05/2021;DUCKE;negative 
C223;Haemagogus;Haemagogus;janthinomys;adult;female ;2;25/05/2021;DUCKE;negative 
C224;Haemagogus;Haemagogus;baresi;adult;female ;1;25/05/2021;DUCKE;negative 
C225;Haemagogus;Haemagogus;janthinomys;adult;female ;3;25/05/2021;DUCKE;negative 
C230;Haemagogus;Haemagogus;janthinomys;adult;female ;7;25/05/2021;DUCKE;negative 
C232;Haemagogus;Haemagogus;janthinomys;adult;female ;4;25/05/2021;DUCKE;negative 
C233;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;25/05/2021;DUCKE;negative 
C234;Haemagogus;Haemagogus;janthinomys;adult;female ;3;25/05/2021;DUCKE;negative 
C235;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;25/05/2021;DUCKE;negative 
C237;Haemagogus;Haemagogus;janthinomys;adult;female ;3;25/05/2021;DUCKE;negative 
C239;Haemagogus;Haemagogus;janthinomys;adult;female ;8;25/05/2021;DUCKE;negative 
C242;Haemagogus;Haemagogus;janthinomys;adult;female ;5;25/05/2021;DUCKE;negative 
C246;Haemagogus;Haemagogus;janthinomys;adult;female ;3;25/05/2021;DUCKE;negative 
C248;Haemagogus;Haemagogus;janthinomys;adult;female ;8;25/05/2021;DUCKE;negative 
C249;Haemagogus;Haemagogus;janthinomys;adult;female ;3;25/05/2021;DUCKE;negative 
C252;Haemagogus;Haemagogus;janthinomys;adult;female ;8;25/05/2021;DUCKE;negative 
C255;Haemagogus;Haemagogus;janthinomys;adult;female ;3;25/05/2021;DUCKE;negative 
C256;Haemagogus;Haemagogus;janthinomys;adult;female ;1;27/05/2021;DUCKE;negative 
C260;Haemagogus;Haemagogus;janthinomys;adult;female ;1;27/05/2021;DUCKE;negative 
C262;Haemagogus;Haemagogus;janthinomys;adult;female ;3;01/06/2021;DUCKE;negative 
C266;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;01/06/2021;DUCKE;negative 
C271;Haemagogus;Haemagogus;janthinomys;adult;female ;3;01/06/2021;DUCKE;negative 
C275;Haemagogus;Haemagogus;janthinomys;adult;female ;4;01/06/2021;DUCKE;negative 
C276;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/06/2021;DUCKE;negative 
C280;Haemagogus;Haemagogus;janthinomys;adult;female ;3;01/06/2021;DUCKE;negative 
C288;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/06/2021;DUCKE;negative 
C289;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/06/2021;DUCKE;negative 
C294;Haemagogus;Conopostegus;leucocelaenus;adult;female ;2;01/06/2021;DUCKE;negative 
C298;Haemagogus;Haemagogus;janthinomys;adult;female ;6;01/06/2021;DUCKE;negative 
C302;Haemagogus;Conopostegus;leucocelaenus;adult;female ;1;01/06/2021;DUCKE;negative 
C307;Haemagogus;Haemagogus;janthinomys;adult;female ;2;01/06/2021;DUCKE;negative 
C311;Haemagogus;Haemagogus;janthinomys;adult;female ;1;01/06/2021;DUCKE;negative 
C314;Haemagogus;Haemagogus;janthinomys;adult;female ;4;01/06/2021;DUCKE;negative 
C319;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C320;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C322;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C324;Haemagogus;Haemagogus;janthinomys;adult;female ;3;10/06/2021;DUCKE;negative 
C326;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C328;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C330;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C332;Haemagogus;Haemagogus;janthinomys;adult;female ;2;10/06/2021;DUCKE;negative 
C334;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C336;Haemagogus;Haemagogus;janthinomys;adult;female ;2;10/06/2021;DUCKE;negative 
C339;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
C340;Haemagogus;Haemagogus;janthinomys;adult;female ;1;10/06/2021;DUCKE;negative 
