GenBank acession;country;year;source
OP508690.1;Brazil;2021;Alouatta sp
OP508660.1;Brazil;2021;Alouatta sp
OP508668.1;Brazil;2021;Alouatta sp
MZ712144.1;Brazil;2021;Alouatta guariba clamitans
OP508691.1;Brazil;2021;Alouatta sp
MZ712134.1;Brazil;2021;Alouatta guariba clamitans
MZ712133.1;Brazil;2021;Alouatta guariba clamitans
MZ712143.1;Brazil;2021;Alouatta guariba clamitans
MZ712140.1;Brazil;2021;Alouatta guariba clamitans
MZ712132.1;Brazil;2021;Alouatta guariba clamitans
MZ712127.1;Brazil;2021;Alouatta guariba clamitans
MZ712146.1;Brazil;2021;Alouatta guariba clamitans
OP508655.1;Brazil;2021;Alouatta sp
OP508659.1;Brazil;2021;Alouatta sp
OP508672.1;Brazil;2021;Alouatta sp
OP508657.1;Brazil;2021;NA
MZ712130.1;Brazil;2021;Alouatta guariba clamitans
MZ712128.1;Brazil;2021;Alouatta guariba clamitans
MZ712129.1;Brazil;2021;Alouatta guariba clamitans
MZ712138.1;Brazil;2021;Alouatta guariba clamitans
MZ712131.1;Brazil;2021;Alouatta guariba clamitans
OP508709.1;Brazil;2021;Alouatta guariba clamitans
OP508697.1;Brazil;2021;Alouatta sp
OP508682.1;Brazil;2019;Alouatta sp
OP508699.1;Brazil;2021;Alouatta sp
OP508693.1;Brazil;2021;Alouatta sp
OP508683.1;Brazil;2021;Alouatta sp
OP508689.1;Brazil;2021;Alouatta sp
OP508679.1;Brazil;2021;Alouatta sp
MZ712147.1;Brazil;2021;Alouatta sp
MZ712148.1;Brazil;2021;Alouatta guariba clamitans
MZ712137.1;Brazil;2021;Alouatta guariba clamitans
MZ712149.1;Brazil;2021;Alouatta guariba clamitans
OP508685.1;Brazil;2021;Alouatta sp
OP508704.1;Brazil;2021;Alouatta sp
OP508686.1;Brazil;2021;Alouatta sp
OP508680.1;Brazil;2021;Alouatta sp
OP508702.1;Brazil;2021;Alouatta sp
OP508695.1;Brazil;2021;Alouatta sp
OP508677.1;Brazil;2021;Alouatta sp
OP508674.1;Brazil;2021;Alouatta sp
OP508700.1;Brazil;2020;Alouatta sp
OP508692.1;Brazil;2021;Alouatta sp
OP508678.1;Brazil;2021;Alouatta sp
OP508684.1;Brazil;2021;Alouatta sp
OP508705.1;Brazil;2021;Alouatta sp
OP508713.1;Brazil;2021;Alouatta sp
OP508646.1;Brazil;2020;Alouatta sp
OP508698.1;Brazil;2021;Alouatta sp
MZ712139.1;Brazil;2021;Alouatta guariba clamitans
OP508648.1;Brazil;2020;Alouatta sp
OP508638.1;Brazil;2020;Alouatta sp
OP508606.1;Brazil;2020;Alouatta sp
OP508619.1;Brazil;2020;Alouatta sp
